datid,datname,pid,leader_pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query_id,query,backend_type
17003,postgres,2829,null,16481,authenticator,postgrest,::1,null,42565,2025-08-05 02:16:18.014648+00,null,2025-08-05 02:16:18.027468+00,2025-08-05 02:16:18.027504+00,Client,ClientRead,idle,null,null,658074698259335373,"LISTEN ""pgrst""",client backend
17003,postgres,3118,null,10,supabase_admin,postgres_exporter,::1,null,29001,2025-08-05 02:20:29.712376+00,null,2025-09-03 06:25:29.66195+00,2025-09-03 06:25:29.662546+00,Client,ClientRead,idle,null,null,-451755004235920355,"SELECT
CASE
    WHEN usename IN ('postgres', 'authenticator', 'supabase_auth_admin', 'supabase_storage_admin', 'supabase_admin') THEN usename
    ELSE 'other'
END AS username,
COUNT(*) AS connection_count
FROM pg_stat_activity
GROUP BY
    CASE
        WHEN usename IN ('postgres', 'authenticator', 'supabase_auth_admin', 'supabase_storage_admin', 'supabase_admin') THEN usename
        ELSE 'other'
    END
",client backend
17003,postgres,24542,null,10,supabase_admin,,::1,null,29885,2025-08-05 14:34:00.014641+00,null,2025-09-02 14:34:00.022709+00,2025-09-02 14:34:00.074019+00,Client,ClientRead,idle,null,null,-1612177921068662911,show archive_mode;,client backend
17003,postgres,1250532,null,16385,pgbouncer,Supavisor auth_query,2406:da12:b78:de01:f1e2:ad9a:5af3:23f6,null,57594,2025-09-01 14:14:28.726311+00,null,2025-09-03 06:25:48.43356+00,2025-09-03 06:25:56.397097+00,Client,ClientRead,idle,null,null,-5619297143059125405,SELECT * FROM pgbouncer.get_auth($1),client backend
17003,postgres,1329051,null,16385,pgbouncer,,127.0.0.1,null,15445,2025-09-03 06:25:48.707897+00,null,2025-09-03 06:25:48.717482+00,2025-09-03 06:25:48.74861+00,Client,ClientRead,idle,null,null,-5619297143059125405,SELECT * FROM pgbouncer.get_auth($1),client backend
17003,postgres,1297564,null,16384,postgres,PostgreSQL JDBC Driver,2406:da12:b78:de01:f1e2:ad9a:5af3:23f6,null,53808,2025-09-02 14:11:02.692694+00,null,2025-09-03 01:49:42.622182+00,2025-09-03 01:49:42.624034+00,Client,ClientRead,idle,null,null,-4617938224441564086,SET application_name = 'PostgreSQL JDBC Driver',client backend
17003,postgres,1329052,null,16594,supabase_storage_admin,,::1,null,31145,2025-09-03 06:25:48.756663+00,null,2025-09-03 06:25:48.803267+00,2025-09-03 06:25:48.803894+00,Client,ClientRead,idle,null,null,-2835399305386018931,COMMIT;,client backend
17003,postgres,1329059,null,16384,postgres,supabase/dashboard-query-editor,2406:da18:96a:8201:d0a4:b6c8:473c:59da,null,33860,2025-09-03 06:25:55.912446+00,2025-09-03 06:25:56.446045+00,2025-09-03 06:25:56.446045+00,2025-09-03 06:25:56.446048+00,null,null,active,null,1954,1599641651250363029,"SELECT * FROM pg_stat_activity limit 100;

-- source: dashboard
-- user: 5c5bf50c-2e68-465d-9515-0f1cf8a94be6
-- date: 2025-09-03T06:25:55.788Z",client backend
null,null,2824,null,null,null,,null,null,null,2025-08-05 02:16:17.24668+00,null,null,null,Activity,AutovacuumMain,null,null,null,null,,autovacuum launcher
null,null,2827,null,10,supabase_admin,,null,null,null,2025-08-05 02:16:17.247505+00,null,null,null,Activity,LogicalLauncherMain,null,null,null,null,,logical replication launcher
17003,postgres,2826,null,10,supabase_admin,pg_cron scheduler,null,null,null,2025-08-05 02:16:17.247553+00,null,null,null,Extension,Extension,null,null,null,null,,pg_cron launcher
17003,postgres,2825,null,10,supabase_admin,pg_net 0.14.0,null,null,null,2025-08-05 02:16:17.247749+00,null,null,null,Extension,Extension,null,null,null,null,,pg_net 0.14.0 worker
null,null,2820,null,null,null,,null,null,null,2025-08-05 02:16:17.235728+00,null,null,null,Activity,CheckpointerMain,null,null,null,null,,checkpointer
null,null,2821,null,null,null,,null,null,null,2025-08-05 02:16:17.236223+00,null,null,null,Activity,BgwriterHibernate,null,null,null,null,,background writer
null,null,2823,null,null,null,,null,null,null,2025-08-05 02:16:17.246273+00,null,null,null,Activity,WalWriterMain,null,null,null,null,,walwriter